,2014-05-07,2014-05-11,2014-07-26
00:00:01,500.0,717.0,750.0
00:00:02,475.5,717.0,741.0
00:00:03,469.3333333333333,590.0,731.6666666666666
00:00:04,464.0,552.25,719.5
00:00:05,463.0,552.6,712.2
00:00:06,462.3333333333333,551.8333333333334,705.0
00:00:07,461.7142857142857,550.4285714285714,694.8571428571429
00:00:08,455.875,547.0,684.0
00:00:09,450.55555555555554,540.4444444444445,669.2222222222222
00:00:10,447.3,539.8,652.9
00:00:11,444.8181818181818,535.0909090909091,634.3636363636364
00:00:12,442.0833333333333,529.75,616.75
00:00:13,439.53846153846155,520.1538461538462,601.8461538461538
00:00:14,435.7142857142857,509.85714285714283,584.9285714285714
00:00:15,432.06666666666666,502.1333333333333,562.6
00:00:16,428.75,495.125,540.3125
00:00:17,424.3529411764706,489.8235294117647,520.6470588235294
00:00:18,420.44444444444446,482.72222222222223,503.1587301587302
00:00:19,413.7894736842105,474.7894736842105,487.5037593984963
00:00:20,409.9,467.05,473.40714285714296
00:00:21,407.23809523809524,460.2857142857143,460.6462585034014
00:00:22,402.5,452.45454545454544,449.0389610389611
00:00:23,399.9130434782609,447.60869565217394,438.4347826086956
00:00:24,396.4583333333333,442.625,428.7083333333333
00:00:25,394.76,436.6,419.75428571428574
00:00:26,392.1923076923077,433.7692307692308,411.4835164835165
00:00:27,388.6296296296296,430.0740740740741,403.8201058201059
00:00:28,384.75,424.9642857142857,396.69897959183675
00:00:29,380.0,422.0344827586207,390.064039408867
00:00:30,373.8,419.1666666666667,385.6333333333333
00:00:31,367.7096774193548,415.5483870967742,385.96774193548384
00:00:32,362.96875,412.65625,386.28125
00:00:33,357.90909090909093,408.8787878787879,386.75757575757575
00:00:34,354.02941176470586,405.70588235294116,386.79411764705884
00:00:35,349.6857142857143,403.37142857142857,386.65714285714284
00:00:36,345.8333333333333,400.1666666666667,385.97222222222223
00:00:37,342.18918918918916,397.9189189189189,384.56756756756755
00:00:38,338.36842105263156,395.57894736842104,382.8421052631579
00:00:39,335.02564102564105,393.56410256410254,380.9230769230769
00:00:40,331.375,392.15,378.5
00:00:41,328.9512195121951,388.9024390243902,375.5609756097561
00:00:42,325.64285714285717,385.8095238095238,372.5
00:00:43,322.3720930232558,384.1162790697674,368.74418604651163
00:00:44,318.09090909090907,382.29545454545456,365.04545454545456
00:00:45,315.15555555555557,380.64444444444445,361.5111111111111
00:00:46,312.2391304347826,378.9347826086956,358.12732919254654
00:00:47,309.59574468085106,376.8936170212766,354.88449848024317
00:00:48,307.0833333333333,375.8958333333333,351.77380952380946
00:00:49,304.55102040816325,375.18367346938777,348.78717201166177
00:00:50,301.9,373.24,345.91714285714284
00:00:51,300.70588235294116,371.5098039215686,343.15686274509807
00:00:52,300.5,369.25,340.5
00:00:53,299.9056603773585,367.64150943396226,337.9407008086253
00:00:54,300.037037037037,366.51851851851853,335.47354497354496
00:00:55,298.92727272727274,365.4727272727273,333.0935064935065
00:00:56,298.10714285714283,364.17857142857144,330.7959183673469
00:00:57,297.56140350877195,362.87719298245617,328.57644110275686
00:00:58,296.48275862068965,361.7068965517241,327.2758620689655
00:00:59,296.3050847457627,361.271186440678,326.271186440678
00:01:00,295.35,360.1666666666667,324.68333333333334
00:01:01,295.08196721311475,358.39344262295083,322.7049180327869
00:01:02,294.4193548387097,357.66129032258067,320.5967741935484
00:01:03,293.8095238095238,356.968253968254,318.1587301587302
00:01:04,293.046875,356.671875,317.0
00:01:05,291.9076923076923,356.44615384615383,316.9230769230769
00:01:06,291.3181818181818,356.2878787878788,316.74242424242425
00:01:07,290.089552238806,356.4029850746269,316.8059701492537
00:01:08,289.19117647058823,355.80882352941177,316.54411764705884
00:01:09,287.92753623188406,354.7826086956522,316.4347826086956
00:01:10,286.9428571428571,353.9714285714286,316.64285714285717
00:01:11,285.7464788732394,353.36619718309856,316.80281690140845
00:01:12,284.52777777777777,352.7916666666667,317.0416666666667
00:01:13,283.24657534246575,352.041095890411,317.16438356164383
00:01:14,282.0135135135135,351.4054054054054,317.31081081081084
00:01:15,280.8933333333333,350.74666666666667,317.4533333333333
00:01:16,279.39473684210526,350.1578947368421,317.5
00:01:17,277.987012987013,349.0779220779221,317.31168831168833
00:01:18,276.7564102564103,348.6794871794872,317.0769230769231
00:01:19,275.45569620253167,347.8607594936709,316.8987341772152
00:01:20,274.1125,347.0625,316.6375
00:01:21,272.77777777777777,346.28395061728395,316.24691358024694
00:01:22,271.7926829268293,345.3780487804878,315.7926829268293
00:01:23,270.578313253012,344.13253012048193,315.4096385542169
00:01:24,270.0238095238095,344.1904761904762,315.0595238095238
00:01:25,269.3058823529412,343.90588235294115,314.7176470588235
00:01:26,268.8255813953488,343.1511627906977,314.3488372093023
00:01:27,269.32183908045977,342.62068965517244,313.9425287356322
00:01:28,269.6363636363636,342.29545454545456,313.54545454545456
00:01:29,268.9438202247191,341.6629213483146,313.02247191011236
00:01:30,268.4222222222222,341.76666666666665,312.43333333333334
00:01:31,267.989010989011,341.42857142857144,311.3956043956044
00:01:32,267.67391304347825,340.60869565217394,309.9347826086956
00:01:33,267.80645161290323,340.39784946236557,308.4623655913978
00:01:34,267.47872340425533,340.25531914893617,306.968085106383
00:01:35,267.6842105263158,340.11578947368423,305.5157894736842
00:01:36,267.2916666666667,339.6770833333333,304.0625
00:01:37,267.1546391752577,339.21649484536084,302.6082474226804
00:01:38,266.55102040816325,338.8061224489796,301.5204081632653
00:01:39,265.57575757575756,338.0,300.67676767676767
00:01:40,264.65,338.0,299.82
00:01:41,263.63366336633663,337.63366336633663,299.08910891089107
00:01:42,263.3529411764706,337.4019607843137,299.6764705882353
00:01:43,262.8349514563107,337.747572815534,300.43689320388347
00:01:44,262.5480769230769,337.3076923076923,301.16346153846155
00:01:45,262.1904761904762,337.22857142857146,301.752380952381
00:01:46,261.9339622641509,337.0566037735849,302.2830188679245
00:01:47,261.66355140186914,336.7196261682243,302.74766355140184
00:01:48,261.3240740740741,336.49074074074076,303.212962962963
00:01:49,261.0,336.3669724770642,303.6605504587156
00:01:50,260.74545454545455,336.5,303.9909090909091
00:01:51,260.43243243243245,336.27027027027026,304.27927927927925
00:01:52,260.14285714285717,336.0892857142857,304.51785714285717
00:01:53,259.72566371681415,335.85840707964604,304.7787610619469
00:01:54,259.39473684210526,335.6578947368421,304.92105263157896
00:01:55,259.0086956521739,335.61739130434785,305.1913043478261
00:01:56,258.6465517241379,335.73275862068965,305.36206896551727
00:01:57,258.36752136752136,335.4957264957265,305.6752136752137
00:01:58,258.0508474576271,335.5,305.8474576271187
00:01:59,257.85714285714283,335.10084033613447,306.03361344537814
00:02:00,257.6333333333333,334.93333333333334,306.21666666666664
00:02:01,257.3719008264463,334.8512396694215,306.3388429752066
00:02:02,256.95081967213116,334.8688524590164,306.45081967213116
00:02:03,256.6829268292683,334.4308943089431,306.6260162601626
00:02:04,256.33870967741933,334.4274193548387,306.7983870967742
00:02:05,255.976,334.352,306.928
00:02:06,255.77777777777777,334.3412698412698,307.07142857142856
00:02:07,255.4488188976378,334.33858267716533,307.18110236220474
00:02:08,255.140625,334.046875,307.2890625
00:02:09,254.8217054263566,333.7906976744186,307.37984496124034
00:02:10,254.5076923076923,333.61538461538464,307.32307692307694
00:02:11,254.3053435114504,333.44274809160305,307.23664122137404
00:02:12,254.12878787878788,333.32575757575756,307.1818181818182
00:02:13,253.94736842105263,332.83458646616543,307.1127819548872
00:02:14,253.83582089552237,332.43283582089555,307.04477611940297
00:02:15,253.6962962962963,332.4592592592593,306.97777777777776
00:02:16,253.35294117647058,332.3529411764706,306.8970588235294
00:02:17,253.2189781021898,331.963503649635,306.77372262773724
00:02:18,253.03623188405797,331.7028985507246,306.57246376811594
00:02:19,252.89208633093526,331.44604316546764,306.37410071942446
00:02:20,252.67142857142858,331.3,306.07142857142856
00:02:21,252.45390070921985,331.02127659574467,305.7659574468085
00:02:22,252.2605633802817,331.0,305.3943661971831
00:02:23,251.95104895104896,330.86713286713285,304.7972027972028
00:02:24,251.74305555555554,330.7291666666667,304.2083333333333
00:02:25,251.51724137931035,330.3379310344828,303.6896551724138
00:02:26,251.31506849315068,330.3013698630137,303.32876712328766
00:02:27,251.20408163265307,330.0,303.1156462585034
00:02:28,251.08783783783784,329.93243243243245,302.9527027027027
00:02:29,250.9798657718121,329.86577181208054,302.71140939597313
00:02:30,250.91333333333333,329.5933333333333,302.47333333333336
00:02:31,250.80794701986756,329.3973509933775,302.1655629139073
00:02:32,250.5065789473684,329.4013157894737,301.8421052631579
00:02:33,250.33986928104576,329.05882352941177,301.62745098039215
00:02:34,250.11688311688312,329.0064935064935,301.35714285714283
00:02:35,249.8709677419355,328.71612903225804,301.06451612903226
00:02:36,249.66666666666666,328.65384615384613,300.77564102564105
00:02:37,249.43949044585986,328.4267515923567,300.312101910828
00:02:38,249.30379746835442,328.09493670886076,299.8544303797468
00:02:39,249.23270440251574,327.84276729559747,299.24528301886795
00:02:40,248.9875,327.55625,298.6125
00:02:41,248.88819875776397,327.3167701863354,297.80124223602485
00:02:42,248.70987654320987,327.51234567901236,297.0308641975309
00:02:43,248.6564417177914,327.5950920245399,296.14723926380367
00:02:44,248.5609756097561,327.5243902439024,295.219512195122
00:02:45,248.4181818181818,327.43030303030304,294.3515151515152
00:02:46,248.28313253012047,327.22289156626505,293.46385542168673
00:02:47,248.19161676646706,327.1437125748503,292.52095808383234
00:02:48,248.0595238095238,327.11309523809524,291.69642857142856
00:02:49,247.94082840236686,326.97633136094674,290.9408284023669
00:02:50,247.73529411764707,326.8764705882353,290.1823529411765
00:02:51,247.58479532163742,326.67836257309943,289.5906432748538
00:02:52,247.3953488372093,326.6744186046512,289.0406976744186
00:02:53,247.21965317919074,326.8034682080925,288.6936416184971
00:02:54,247.0977011494253,327.0287356321839,288.2298850574713
